canonical_id,alias_string,source,priority
A Badoni,A Badoni,stats_player_id,0
A Kamboj,A Kamboj,stats_player_id,0
A Manohar,A Manohar,stats_player_id,0
A Mhatre,A Mhatre,stats_player_id,0
A Mishra,A Mishra,stats_player_id,0
A Nortje,A Nortje,stats_player_id,0
A Raghuvanshi,A Raghuvanshi,stats_player_id,0
A Tomar,A Tomar,stats_player_id,0
A Zampa,A Zampa,stats_player_id,0
AA Kulkarni,AA Kulkarni,stats_player_id,0
AB de Villiers,AB de Villiers,stats_player_id,0
AD Russell,AD Russell,stats_player_id,0
AF Milne,AF Milne,stats_player_id,0
AJ Finch,AJ Finch,stats_player_id,0
AJ Hosein,AJ Hosein,stats_player_id,0
AJ Turner,AJ Turner,stats_player_id,0
AJ Tye,AJ Tye,stats_player_id,0
AK Markram,AK Markram,stats_player_id,0
AM Rahane,AM Rahane,stats_player_id,0
AR Patel,AR Patel,stats_player_id,0
AS Joseph,AS Joseph,stats_player_id,0
AS Rajpoot,AS Rajpoot,stats_player_id,0
AS Roy,AS Roy,stats_player_id,0
AT Carey,AT Carey,stats_player_id,0
AT Rayudu,AT Rayudu,stats_player_id,0
AU Rashid,AU Rashid,stats_player_id,0
Abdul Basith,Abdul Basith,stats_player_id,0
Abdul Samad,Abdul Samad,stats_player_id,0
Abhishek Sharma,Abhishek Sharma,stats_player_id,0
Abishek Porel,Abishek Porel,stats_player_id,0
Akash Deep,Akash Deep,stats_player_id,0
Akash Madhwal,Akash Madhwal,stats_player_id,0
Akash Singh,Akash Singh,stats_player_id,0
Aman Hakim Khan,Aman Hakim Khan,stats_player_id,0
Aniket Verma,Aniket Verma,stats_player_id,0
Anmolpreet Singh,Anmolpreet Singh,stats_player_id,0
Anuj Rawat,Anuj Rawat,stats_player_id,0
Arjun Tendulkar,Arjun Tendulkar,stats_player_id,0
Arshad Khan,Arshad Khan,stats_player_id,0
Arshad Khan (2),Arshad Khan (2),stats_player_id,0
Arshdeep Singh,Arshdeep Singh,stats_player_id,0
Ashutosh Sharma,Ashutosh Sharma,stats_player_id,0
Ashwani Kumar,Ashwani Kumar,stats_player_id,0
Atharva Taide,Atharva Taide,stats_player_id,0
Avesh Khan,Avesh Khan,stats_player_id,0
Azmatullah Omarzai,Azmatullah Omarzai,stats_player_id,0
B Indrajith,B Indrajith,stats_player_id,0
B Kumar,B Kumar,stats_player_id,0
B Kumar,Bhuvneshwar Kumar,manual,100
B Sai Sudharsan,B Sai Sudharsan,stats_player_id,0
BA Stokes,BA Stokes,stats_player_id,0
BKG Mendis,BKG Mendis,stats_player_id,0
BR Sharath,BR Sharath,stats_player_id,0
Basil Thampi,Basil Thampi,stats_player_id,0
C Bosch,C Bosch,stats_player_id,0
C Green,C Green,stats_player_id,0
C Sakariya,C Sakariya,stats_player_id,0
CA Lynn,CA Lynn,stats_player_id,0
CH Gayle,CH Gayle,stats_player_id,0
CH Morris,CH Morris,stats_player_id,0
CJ Green,CJ Green,stats_player_id,0
CJ Jordan,CJ Jordan,stats_player_id,0
CR Woakes,CR Woakes,stats_player_id,0
CV Varun,CV Varun,stats_player_id,0
D Brevis,D Brevis,stats_player_id,0
D Ferreira,D Ferreira,stats_player_id,0
D Jansen,D Jansen,stats_player_id,0
D Padikkal,D Padikkal,stats_player_id,0
D Pretorius,D Pretorius,stats_player_id,0
D Wiese,D Wiese,stats_player_id,0
DA Miller,DA Miller,stats_player_id,0
DA Warner,DA Warner,stats_player_id,0
DG Nalkande,DG Nalkande,stats_player_id,0
DJ Bravo,DJ Bravo,stats_player_id,0
DJ Hooda,DJ Hooda,stats_player_id,0
DJ Malan,DJ Malan,stats_player_id,0
DJ Mitchell,DJ Mitchell,stats_player_id,0
DJ Willey,DJ Willey,stats_player_id,0
